,       MaxEStateIndex,       MinEStateIndex,    MaxAbsEStateIndex,    MinAbsEStateIndex,                  qed,                MolWt,       HeavyAtomMolWt,           ExactMolWt,  NumValenceElectrons,  NumRadicalElectrons,     MaxPartialCharge,     MinPartialCharge,  MaxAbsPartialCharge,  MinAbsPartialCharge,     FpDensityMorgan1,     FpDensityMorgan2,     FpDensityMorgan3,             BalabanJ,              BertzCT,                 Chi0,                Chi0n,                Chi0v,                 Chi1,                Chi1n,                Chi1v,                Chi2n,                Chi2v,                Chi3n,                Chi3v,                Chi4n,                Chi4v,        HallKierAlpha,                  Ipc,               Kappa1,               Kappa2,               Kappa3,            LabuteASA,            PEOE_VSA1,           PEOE_VSA10,           PEOE_VSA11,           PEOE_VSA12,           PEOE_VSA13,           PEOE_VSA14,            PEOE_VSA2,            PEOE_VSA3,            PEOE_VSA4,            PEOE_VSA5,            PEOE_VSA6,            PEOE_VSA7,            PEOE_VSA8,            PEOE_VSA9,             SMR_VSA1,            SMR_VSA10,             SMR_VSA2,             SMR_VSA3,             SMR_VSA4,             SMR_VSA5,             SMR_VSA6,             SMR_VSA7,             SMR_VSA8,             SMR_VSA9,           SlogP_VSA1,          SlogP_VSA10,          SlogP_VSA11,          SlogP_VSA12,           SlogP_VSA2,           SlogP_VSA3,           SlogP_VSA4,           SlogP_VSA5,           SlogP_VSA6,           SlogP_VSA7,           SlogP_VSA8,           SlogP_VSA9,          EState_VSA1,         EState_VSA10,         EState_VSA11,          EState_VSA2,          EState_VSA3,          EState_VSA4,          EState_VSA5,          EState_VSA6,          EState_VSA7,          EState_VSA8,          EState_VSA9,          VSA_EState1,         VSA_EState10,          VSA_EState2,          VSA_EState3,          VSA_EState4,          VSA_EState5,          VSA_EState6,          VSA_EState7,          VSA_EState8,          VSA_EState9,         FractionCSP3,       HeavyAtomCount,            NHOHCount,              NOCount,  NumAliphaticCarbocycles,  NumAliphaticHeterocycles,    NumAliphaticRings,  NumAromaticCarbocycles,  NumAromaticHeterocycles,     NumAromaticRings,        NumHAcceptors,           NumHDonors,       NumHeteroatoms,    NumRotatableBonds,  NumSaturatedCarbocycles,  NumSaturatedHeterocycles,    NumSaturatedRings,            RingCount,                MolMR,            fr_Al_COO,             fr_Al_OH,      fr_Al_OH_noTert,               fr_ArN,            fr_Ar_COO,              fr_Ar_N,             fr_Ar_NH,             fr_Ar_OH,               fr_COO,              fr_COO2,               fr_C_O,         fr_C_O_noCOO,               fr_C_S,             fr_HOCCN,             fr_Imine,               fr_NH0,               fr_NH1,               fr_NH2,               fr_N_O,    fr_Ndealkylation1,    fr_Ndealkylation2,         fr_Nhpyrrole,                fr_SH,          fr_aldehyde,   fr_alkyl_carbamate,      fr_alkyl_halide,      fr_allylic_oxid,             fr_amide,           fr_amidine,           fr_aniline,       fr_aryl_methyl,             fr_azide,               fr_azo,          fr_barbitur,           fr_benzene,    fr_benzodiazepine,          fr_bicyclic,             fr_diazo,   fr_dihydropyridine,           fr_epoxide,             fr_ester,             fr_ether,             fr_furan,           fr_guanido,           fr_halogen,           fr_hdrzine,           fr_hdrzone,         fr_imidazole,             fr_imide,           fr_isocyan,       fr_isothiocyan,            fr_ketone,    fr_ketone_Topliss,            fr_lactam,           fr_lactone,           fr_methoxy,        fr_morpholine,           fr_nitrile,             fr_nitro,        fr_nitro_arom,  fr_nitro_arom_nonortho,           fr_nitroso,           fr_oxazole,             fr_oxime,  fr_para_hydroxylation,            fr_phenol,  fr_phenol_noOrthoHbond,         fr_phos_acid,        fr_phos_ester,         fr_piperdine,         fr_piperzine,          fr_priamide,      fr_prisulfonamd,          fr_pyridine,             fr_quatN,           fr_sulfide,         fr_sulfonamd,           fr_sulfone,    fr_term_acetylene,         fr_tetrazole,          fr_thiazole,          fr_thiocyan,         fr_thiophene,     fr_unbrch_alkane,              fr_urea, 
      MaxEStateIndex,  1.00000, -0.10735, -0.17680,  0.30925,  0.13958,  0.12386, -0.14400, -0.08889,  0.03446,  0.16067, -0.11765,  0.12015,  0.46733,  0.14046,  0.24095,  0.63324,  0.27407,  0.21510,  0.25753,  0.37024,  0.34449,  0.21683,  0.46950,  0.43035, -0.10222,  0.05392,  0.26503,  0.17742,  0.40615,  0.18356,  0.24451,  0.69994,  0.08915,  0.40634,  0.04652,  0.42085,  0.23606, -0.05031,  0.23080, -0.06595,  0.14334,  0.16188,  0.48223,  0.06394,  0.29852,  0.07884, -0.14338,  0.09605, -0.07551, -0.08970,  0.20671,  0.41702, -0.05915,  0.39422,  0.37977, -0.08729,  0.02142,  0.32839,  0.06679, -0.02315,  0.03419, -0.01959,  0.08810,  0.28759,  0.36217, -0.01955, -0.00022,  0.12015,  0.12573,  0.02377,  0.05337,  0.22912,  0.12422,  0.18534,  0.41842, -0.10031,  0.04806,  0.24754,  0.01869,  0.09660, -0.11572,  0.12015, -0.16576,  0.03388, -0.19320,  0.26874,  0.12039, -0.16348,  0.07666,  0.13972,  0.26536,  0.12015,  0.25991,  0.09374, -0.13987,  0.46916,  0.34295,  0.33063,  0.24358,  0.12022, -0.02332,  0.02571, -0.10269, -0.07636, -0.15642,  0.22211,  0.03330, -0.07898, -0.10732,  0.31797, -0.13893,  0.11419,  0.09176,  0.23322, -0.04679,  0.06160,  0.22797,  0.38323, -0.01354,  0.50369,  0.19151, -0.02028, -0.12364, -0.03265, -0.07423,  0.51530, -0.11300, -0.10571,  0.39492,  0.27410, -0.00342,  0.68283, -0.11537,  0.29794,  0.41500,  0.14778,  0.18692, -0.01304,  0.34144, -0.05367,  0.06529, -0.17954,  0.12630,  0.03196,  0.10129,  0.17079, -0.11342,  0.21765, -0.07862, -0.07626,  0.31062, -0.06631,  0.01368,  0.03019,  0.42865, -0.02885, -0.00525,  0.55216,  0.43746,  0.34532,  0.70025,  0.65539,  0.62316, -0.06817,  0.19748,  0.35378,  0.16395, -0.11153, -0.03774,  0.37470, -0.05244,  0.12015, -0.08300, -0.01723, -0.01868,  0.12015, -0.01186, -0.07201,  0.14620,  0.38595, -0.02527,  0.38422, -0.06913, -0.05652, -0.04912, -0.04257, -0.02936, -0.01769, -0.03567,  0.00410,  0.11978,  0.05984,  0.04306, -0.00277, -0.04917,  0.11927,  0.07815,  0.01822, 
      MinEStateIndex, -0.10735,  1.00000,  0.12141,  0.24254, -0.14980, -0.14926,  0.26199,  0.58140,  0.64590, -0.17509,  0.64933, -0.00085, -0.01274, -0.06485,  0.28777, -0.09066,  0.10429, -0.07592, -0.06379,  0.03241, -0.10766,  0.05135, -0.09871, -0.02196,  0.56078,  0.32555,  0.12791, -0.02243,  0.03359,  0.56238,  0.49297, -0.03918,  0.17215,  0.03134,  0.55158,  0.23310, -0.03305,  0.09380,  0.08207,  0.40757, -0.02017, -0.13955,  0.07392, -0.05823, -0.02771,  0.27841,  0.35244, -0.00525,  0.29493,  0.17759,  0.32913, -0.12435,  0.55123, -0.06241,  0.12634, -0.02818,  0.21983, -0.05619, -0.03926,  0.00840,  0.21622,  0.01596,  0.11010,  0.31895, -0.01207,  0.06067,  0.41887, -0.00085, -0.17426, -0.03636, -0.02177,  0.40885,  0.01843,  0.27294, -0.03468,  0.06630,  0.32739, -0.08419,  0.20313, -0.00920,  0.01347, -0.00085, -0.01527, -0.07755,  0.16282, -0.06447, -0.00078,  0.21682, -0.00275,  0.00329, -0.12815, -0.00085, -0.04135,  0.18483,  0.39653, -0.06968,  0.02400,  0.32414,  0.00003, -0.00106, -0.01276, -0.01552,  0.15402,  0.66933,  0.00031, -0.03583, -0.09292,  0.53463,  0.31347, -0.13095,  0.21857,  0.00084, -0.00461, -0.09587,  0.53198, -0.06748, -0.11023, -0.02693,  0.18281, -0.03452,  0.06487,  0.45938,  0.23391,  0.13672, -0.05381, -0.11901,  0.37920,  0.66964, -0.07680, -0.05299,  0.56988, -0.09230,  0.09834,  0.17979, -0.06420,  0.09016,  0.01012,  0.08351,  0.04136,  0.60172,  0.05402,  0.02286,  0.00228, -0.05280, -0.02188, -0.14489,  0.15287,  0.04603,  0.11096,  0.13211, -0.06232,  0.93287,  0.23279,  0.19385, -0.06517,  0.23480, -0.02945, -0.11390, -0.07896,  0.28581, -0.09303, -0.10889, -0.10847,  0.47419, -0.06578,  0.17673, -0.01581,  0.35656,  0.60283,  0.00730,  0.01066, -0.00085,  0.10407,  0.18712, -0.00858, -0.00088,  0.25440,  0.17525, -0.16990,  0.01147,  0.12613, -0.05537,  0.47299,  0.27249,  0.27036,  0.17614,  0.31086,  0.12300,  0.32170,  0.54828,  0.00048,  0.10334,  0.31763,  0.08326,  0.30045,  0.00776,  0.28333,  0.29292, 
   MaxAbsEStateIndex, -0.17680,  0.12141,  1.00000,  0.04569, -0.00283,  0.01270,  0.26440,  0.04941,  0.09260,  0.06080,  0.10002, -0.02801,  0.02380, -0.03540,  0.05599, -0.12147, -0.01192, -0.14625,  0.09068,  0.06347, -0.10746,  0.01901, -0.23565,  0.03201,  0.10705, -0.02806,  0.22110,  0.11695,  0.01505,  0.03167, -0.01823, -0.15054,  0.01867, -0.07804, -0.07129, -0.13510, -0.15995,  0.28636,  0.33167,  0.03959, -0.13232,  0.19703, -0.15827,  0.01440, -0.00834, -0.04719,  0.20150,  0.03143,  0.07020,  0.25738, -0.08592,  0.04061,  0.23514, -0.19202, -0.00552,  0.13108,  0.29408,  0.02737, -0.04032,  0.07992, -0.03217,  0.05143,  0.08625, -0.02828,  0.00212, -0.04833, -0.06705, -0.02801, -0.10252,  0.18540, -0.09148, -0.13716, -0.02720,  0.02420, -0.04843,  0.03397, -0.01723, -0.06546,  0.19048,  0.07256,  0.27133, -0.02801,  0.52776,  0.03783,  0.25458, -0.04403, -0.02776,  0.65009,  0.10979, -0.02228,  0.03129, -0.02801, -0.00843,  0.04285,  0.14015, -0.26457, -0.05263, -0.17960,  0.00087, -0.02765,  0.14402,  0.13318,  0.00390,  0.09139,  0.46263, -0.04524,  0.15980,  0.00934,  0.20777, -0.18603,  0.11498, -0.01458, -0.12017,  0.27913, -0.06696, -0.03984, -0.00068, -0.04728,  0.00011,  0.08199,  0.41689, -0.00103,  0.16914,  0.06032,  0.36830, -0.10403,  0.15045,  0.02719, -0.15786,  0.35658,  0.07133, -0.20962,  0.55118,  0.21670,  0.13022, -0.00542,  0.00002, -0.08997, -0.05050,  0.03740, -0.08236,  0.08582, -0.02799, -0.08282, -0.11983, -0.15270,  0.31245,  0.11449,  0.29455,  0.17638,  0.03428,  0.00238,  0.28119,  0.21275, -0.10998,  0.27574, -0.10502, -0.15979,  0.02032, -0.09467, -0.01190, -0.00156,  0.05731, -0.04122,  0.04842, -0.04845, -0.00453,  0.28577,  0.03939, -0.09027,  0.05344, -0.02801,  0.18115, -0.00335, -0.06119, -0.02793,  0.45878,  0.01973,  0.07063, -0.07345,  0.67983,  0.08774,  0.07387, -0.00107,  0.06194,  0.02114,  0.00210, -0.01906, -0.03237, -0.02503, -0.02706, -0.01354, -0.04065, -0.00092,  0.02229, -0.02643,  0.02350, -0.00255, 
   MinAbsEStateIndex,  0.30925,  0.24254,  0.04569,  1.00000,  0.02214,  0.02469,  0.09510,  0.23781,  0.34951, -0.01968, -0.01418, -0.00353,  0.43983,  0.00876,  0.60464,  0.69845,  0.57543,  0.25857,  0.38897,  0.74015, -0.07688,  0.48358,  0.43574, -0.01089,  0.14458, -0.04094,  0.54522, -0.02222, -0.02971,  0.48677,  0.65930, -0.07949, -0.00100,  0.63783,  0.23518,  0.77110,  0.28075, -0.04538, -0.02011, -0.04361, -0.04334,  0.03882, -0.10368, -0.03881, -0.00414,  0.11300, -0.11131, -0.01308, -0.02108, -0.02659,  0.66929,  0.57597,  0.25799,  0.32571,  0.79107, -0.00192, -0.04394,  0.63056, -0.01668,  0.01466, -0.04257, -0.00250,  0.00248,  0.78792,  0.77517, -0.02909, -0.00715, -0.00353, -0.06617,  0.18659, -0.02928,  0.69337,  0.01109,  0.30919,  0.68179, -0.05924,  0.01445, -0.04399, -0.00287, -0.03098,  0.08278, -0.00353,  0.09154, -0.05295,  0.04859,  0.25267, -0.00289, -0.01012,  0.02790,  0.04963,  0.07006, -0.00353, -0.01789,  0.09034, -0.01735,  0.34739,  0.62083,  0.67722,  0.48054, -0.00360,  0.01518,  0.00229, -0.00272,  0.27304,  0.06162,  0.18730,  0.08451,  0.02953,  0.41677, -0.01837,  0.04820, -0.00665, -0.02674, -0.00445,  0.16228, -0.02555, -0.06221,  0.60280, -0.06450,  0.01206, -0.11870, -0.06453, -0.05787, -0.05672, -0.00237,  0.51779,  0.29055,  0.14605,  0.63756, -0.05245, -0.04416, -0.10932, -0.07162,  0.08885,  0.73910,  0.12369,  0.17431, -0.07984,  0.58204,  0.19181,  0.02761,  0.13815,  0.00621, -0.03200, -0.06184, -0.03321,  0.14573, -0.10383, -0.04989, -0.02074, -0.07652,  0.26410, -0.01897, -0.01668,  0.58680, -0.03772, -0.03106, -0.08199,  0.43544,  0.73083, -0.11626, -0.09711, -0.12005,  0.34713,  0.47941,  0.67622, -0.00643,  0.02381, -0.03723,  0.68407,  0.03095, -0.00353,  0.05355,  0.01632, -0.03753, -0.00353, -0.03016, -0.03068, -0.01690,  0.74580, -0.04344,  0.74655,  0.15679,  0.16413,  0.18903,  0.10365,  0.22158,  0.07507,  0.12590,  0.25833, -0.00171,  0.08497,  0.20179,  0.05264,  0.18000,  0.00517,  0.13294,  0.33961, 
                 qed,  0.13958, -0.14980, -0.00283,  0.02214,  1.00000,  0.97464,  0.08754, -0.07770, -0.09103,  0.67804, -0.04199, -0.01430,  0.07242, -0.00981, -0.00587,  0.04259,  0.09484,  0.29135,  0.12904,  0.11689,  0.21728,  0.09974,  0.37123,  0.04384, -0.37217,  0.12478,  0.15742, -0.03150,  0.07192,  0.01091,  0.02128,  0.12763,  0.07901,  0.08159,  0.08560,  0.16030,  0.21907,  0.00066, -0.16084,  0.27508,  0.31393, -0.06457,  0.04108,  0.07344, -0.00128,  0.00443, -0.12867, -0.06385,  0.10719,  0.04848,  0.27320,  0.22855, -0.06522,  0.41393,  0.01244, -0.01256, -0.05768,  0.23764,  0.32946, -0.09026,  0.18760, -0.04965, -0.09546,  0.06521,  0.10246,  0.17980,  0.03274, -0.01430,  0.31374,  0.31514,  0.46377,  0.15173, -0.01084,  0.04798,  0.14902,  0.20122, -0.02954,  0.47935, -0.03005, -0.10418, -0.05956, -0.01430,  0.03078,  0.26533, -0.15688,  0.07788, -0.01433, -0.17270,  0.37101, -0.01553,  0.23896, -0.01430,  0.20110,  0.04464, -0.05979,  0.35035,  0.09947,  0.18701, -0.00993, -0.01444, -0.03666, -0.06264,  0.03004, -0.03677,  0.15636,  0.03505,  0.00619, -0.12220,  0.00691,  0.45767,  0.09602, -0.01690,  0.42943,  0.17785, -0.05998,  0.11926,  0.47001,  0.04324,  0.19204,  0.01474,  0.01530,  0.04944,  0.11733,  0.26674,  0.14885,  0.16178,  0.03225, -0.05638,  0.23458, -0.15664, -0.01892,  0.23814, -0.10082, -0.08165,  0.05304, -0.01677,  0.08653,  0.42297,  0.23310, -0.17174,  0.47761,  0.28536, -0.01341,  0.57807,  0.56909,  0.37913, -0.16932,  0.37302,  0.08352,  0.21740,  0.16642, -0.10127, -0.05588, -0.04313,  0.30859, -0.04659,  0.16265,  0.02842,  0.11975,  0.09695,  0.05100, -0.02042, -0.01748,  0.21876, -0.03337, -0.00517, -0.03185, -0.02414, -0.03078,  0.22027, -0.04781, -0.01430, -0.20554,  0.13159,  0.35236, -0.01431, -0.11007,  0.02282,  0.65320,  0.06801,  0.09401,  0.07680, -0.09281, -0.00010, -0.09296, -0.04690, -0.01315, -0.01451, -0.01929, -0.08711, -0.01499, -0.05951, -0.03905,  0.01285, -0.04077, -0.01653, -0.08788, -0.03644, 
               MolWt,  0.12386, -0.14926,  0.01270,  0.02469,  0.97464,  1.00000,  0.09882, -0.06960, -0.10035,  0.64025, -0.03445, -0.01566,  0.06147, -0.01918, -0.01063,  0.03036,  0.09841,  0.28427,  0.13182,  0.11416,  0.24973,  0.09221,  0.35212,  0.04422, -0.36269,  0.12450,  0.15527, -0.03151,  0.06078,  0.01102,  0.02635,  0.10695,  0.07687,  0.07870,  0.08081,  0.15567,  0.21515,  0.00080, -0.19558,  0.27399,  0.31131, -0.08087,  0.03206,  0.06989, -0.00049, -0.00157, -0.13698, -0.06450,  0.10419,  0.06935,  0.26590,  0.22377, -0.06039,  0.40101,  0.01307, -0.00783, -0.04277,  0.22654,  0.30677, -0.08919,  0.19200, -0.04813, -0.09704,  0.06048,  0.09124,  0.18450,  0.03344, -0.01566,  0.26436,  0.32460,  0.45610,  0.15405, -0.01216,  0.04670,  0.15299,  0.20166, -0.02829,  0.47483, -0.02102, -0.10488, -0.08545, -0.01566,  0.02692,  0.24079, -0.16794,  0.06611, -0.01570, -0.16886,  0.35818, -0.01696,  0.23326, -0.01566,  0.18571,  0.04200, -0.06160,  0.33339,  0.09856,  0.16552, -0.00902, -0.01576, -0.03710, -0.06174,  0.03243, -0.04076,  0.16129,  0.03193,  0.00426, -0.11767, -0.00279,  0.47354,  0.10612, -0.01907,  0.45744,  0.18116, -0.06382,  0.08719,  0.46557,  0.03302,  0.19732,  0.02179, -0.00581,  0.04975,  0.12395,  0.26479,  0.10240,  0.17953,  0.03504, -0.06442,  0.23702, -0.17415, -0.02697,  0.21888, -0.10219, -0.07878,  0.05517, -0.01950,  0.08804,  0.42580,  0.21950, -0.15283,  0.45951,  0.29311, -0.01469,  0.59859,  0.56378,  0.38368, -0.18092,  0.34637,  0.09798,  0.23561,  0.13620, -0.10641, -0.03724, -0.03319,  0.31957, -0.03997,  0.15442,  0.00007,  0.11366,  0.10224,  0.02975, -0.01810, -0.01861,  0.22998, -0.03816, -0.00705, -0.03606, -0.03171, -0.02293,  0.20681, -0.04732, -0.01566, -0.20986,  0.14022,  0.34512, -0.01567, -0.11025,  0.02304,  0.63181,  0.06511,  0.11332,  0.06915, -0.09446, -0.00483, -0.09175, -0.04934, -0.01195, -0.01679, -0.02182, -0.08976, -0.01626, -0.06716, -0.04355,  0.01459, -0.04631, -0.01776, -0.09439, -0.04308, 
      HeavyAtomMolWt, -0.14400,  0.26199,  0.26440,  0.09510,  0.08754,  0.09882,  1.00000,  0.26898,  0.05144, -0.19153,  0.37114,  0.01296,  0.09648, -0.05522,  0.25916, -0.04050,  0.37717,  0.01742,  0.00791,  0.28155, -0.05981,  0.21391,  0.00233, -0.07658,  0.17800, -0.12856,  0.09974, -0.05517,  0.06730,  0.08917,  0.34313, -0.01456, -0.00670, -0.03737,  0.04082,  0.05733,  0.08821,  0.28372, -0.11940,  0.21788,  0.07489, -0.15511,  0.25183, -0.15285, -0.07158,  0.02528,  0.27764, -0.02080,  0.33533,  0.55676,  0.25061, -0.19452, -0.00094,  0.09318,  0.10277, -0.08385,  0.39944,  0.14261,  0.22363,  0.14144,  0.59954,  0.08753, -0.13245,  0.32961,  0.04243,  0.23709,  0.04944,  0.01297, -0.17209,  0.33305,  0.21710,  0.31858,  0.00922,  0.00183,  0.26463,  0.29800, -0.02403, -0.00798,  0.40441, -0.05725,  0.35850,  0.01297,  0.40900, -0.03867,  0.26779, -0.04217,  0.01267,  0.49211,  0.37300,  0.00567, -0.02762,  0.01297,  0.05589, -0.00263,  0.31766,  0.05656,  0.18120, -0.07560,  0.05178,  0.01231,  0.01481, -0.05130,  0.42167,  0.15650,  0.15490, -0.02367, -0.15829,  0.02075,  0.13472, -0.02450,  0.70337, -0.00031,  0.18293, -0.09402,  0.00004, -0.13304, -0.13496, -0.00596,  0.50749, -0.11231,  0.11574,  0.51649,  0.48612,  0.50419,  0.13226, -0.09402,  0.10756,  0.01791,  0.04206, -0.23080,  0.21393, -0.07972,  0.02515, -0.14346, -0.01194,  0.00574,  0.00009,  0.32690,  0.22684, -0.00760,  0.36852,  0.33288,  0.01010,  0.11465,  0.16095, -0.21911,  0.15868,  0.16672,  0.30952,  0.31487, -0.13984,  0.05975,  0.43630,  0.36866, -0.00154,  0.43128,  0.00355, -0.01221, -0.10133,  0.22782, -0.20648, -0.19451, -0.24497,  0.06105, -0.06067,  0.01119, -0.03248,  0.07775,  0.24920,  0.22413,  0.04157,  0.01297,  0.48170,  0.51272,  0.14467,  0.01288,  0.34036,  0.16354, -0.19065,  0.11753,  0.42427,  0.02016,  0.13339,  0.09160,  0.14313,  0.02840, -0.03052, -0.01146,  0.00867, -0.05286,  0.01173, -0.06197, -0.04689, -0.04488,  0.03038,  0.01073,  0.06418,  0.03897, 
          ExactMolWt, -0.08889,  0.58140,  0.04941,  0.23781, -0.07770, -0.06960,  0.26898,  1.00000,  0.62911, -0.14202,  0.16866, -0.00573, -0.04010,  0.33656,  0.16268, -0.07652,  0.20218,  0.38423, -0.00927,  0.03857, -0.06434,  0.50844, -0.02680,  0.38846,  0.48042, -0.00929,  0.00416, -0.03830, -0.00537,  0.36214,  0.35454,  0.24646,  0.20825,  0.08271,  0.33960,  0.27667,  0.43158,  0.51025, -0.05244,  0.05050, -0.03732, -0.13731,  0.07024, -0.07362, -0.03121,  0.72584,  0.23963, -0.01072,  0.20910,  0.22793,  0.36921, -0.10620,  0.50155, -0.05715,  0.04550, -0.01735,  0.22863, -0.01164,  0.00847,  0.56679,  0.21517,  0.57959,  0.01061,  0.33863,  0.03981,  0.12591,  0.04111, -0.00573, -0.14973, -0.01631,  0.01595,  0.44410, -0.00682,  0.19754, -0.02141,  0.10860,  0.01032, -0.06999,  0.57246, -0.01471, -0.03001, -0.00573, -0.00353, -0.05650,  0.14081, -0.04184, -0.00566,  0.14839, -0.00761, -0.00178, -0.08255, -0.00573, -0.06862,  0.12975,  0.22005, -0.04709,  0.15931,  0.17574,  0.43516, -0.00600,  0.45216,  0.47850,  0.15459,  0.27256, -0.02649, -0.02938, -0.08506,  0.14614,  0.31911, -0.10310,  0.24328, -0.01150,  0.00631, -0.13462,  0.77868, -0.06982, -0.11568,  0.02859,  0.17511, -0.01851, -0.03162,  0.22603,  0.14973,  0.12057, -0.10626, -0.09327,  0.36291,  0.22214, -0.01167, -0.09763,  0.08699, -0.06921, -0.04311,  0.17229, -0.04767,  0.06940, -0.04290,  0.06472,  0.09274,  0.86131,  0.17751,  0.08090, -0.00253, -0.02769,  0.02481, -0.12255,  0.23492,  0.04071,  0.07696,  0.11533,  0.01885,  0.50535,  0.24734,  0.56958, -0.04603,  0.23818,  0.30508, -0.11227,  0.16164,  0.34004, -0.11007, -0.09860, -0.11620,  0.47977,  0.33461,  0.21839, -0.02656,  0.11849,  0.11969,  0.05772,  0.52879, -0.00573,  0.12528,  0.26595,  0.01162, -0.00576,  0.18816,  0.64064, -0.13673,  0.02669,  0.10913, -0.05055,  0.69549,  0.77003,  0.77501,  0.73777,  0.80391,  0.72797,  0.78015,  0.70229,  0.00198,  0.47507,  0.64471,  0.64476,  0.81524,  0.01933,  0.76798,  0.80423, 
 NumValenceElectrons,  0.03446,  0.64590,  0.09260,  0.34951, -0.09103, -0.10035,  0.05144,  0.62911,  1.00000, -0.05219,  0.05331, -0.01305, -0.01075, -0.02979, -0.00633,  0.01695,  0.03729, -0.10211, -0.02295, -0.02415, -0.06096,  0.02397, -0.04467,  0.04195,  0.53459, -0.02210, -0.07131, -0.02861,  0.10678,  0.17673,  0.28488,  0.05278, -0.00772,  0.09410,  0.38034,  0.30209, -0.06219, -0.04349,  0.08353, -0.07993, -0.01100, -0.02900,  0.10732, -0.00492,  0.03061,  0.35700,  0.11828, -0.01632,  0.06729,  0.11280,  0.35080, -0.05898,  0.72777, -0.07563, -0.00466, -0.00639,  0.25654, -0.06838, -0.05110,  0.04903, -0.00075,  0.04874,  0.08129,  0.29695,  0.05159,  0.00735,  0.00999, -0.01305, -0.02833,  0.06095, -0.05657,  0.42034, -0.01174,  0.28537, -0.05717, -0.03416,  0.03502, -0.03218,  0.19786, -0.01728, -0.00939, -0.01305, -0.03146, -0.04683,  0.11161, -0.02491, -0.01271, -0.00830, -0.05475, -0.00188,  0.07598, -0.01305, -0.01423,  0.15911,  0.04307, -0.07413,  0.02922,  0.24665,  0.01818, -0.01315,  0.16603,  0.07774, -0.01228,  0.38387,  0.06379, -0.03212,  0.03037,  0.18547,  0.57833, -0.02252,  0.03782, -0.01556, -0.04380, -0.06175,  0.44507, -0.04949, -0.06373,  0.03939, -0.06338,  0.10915, -0.01390, -0.04045, -0.02043, -0.05965, -0.09723,  0.04587,  0.53837,  0.33822, -0.00222,  0.02612,  0.08417,  0.02877, -0.05312,  0.38480, -0.00371,  0.09424, -0.06632, -0.11743, -0.03441,  0.57965,  0.00515,  0.01278, -0.00772, -0.10577, -0.10837, -0.05219,  0.31319,  0.08764, -0.04501,  0.04541,  0.13565,  0.64763,  0.26285,  0.20057, -0.04077,  0.27301, -0.03040,  0.05117, -0.00687,  0.28335,  0.05651,  0.03653,  0.02979,  0.63471, -0.02898,  0.07539, -0.00747,  0.17181,  0.02687,  0.06362,  0.07569, -0.01305,  0.06730,  0.03856, -0.11286, -0.01303,  0.20715,  0.01750, -0.06162, -0.01886,  0.02286, -0.04967,  0.32198,  0.34468,  0.35687,  0.21737,  0.42837,  0.17278,  0.27394,  0.54330, -0.00950,  0.16211,  0.42765,  0.12751,  0.37935,  0.00103,  0.36939,  0.37243, 
 NumRadicalElectrons,  0.16067, -0.17509,  0.06080, -0.01968,  0.67804,  0.64025, -0.19153, -0.14202, -0.05219,  1.00000, -0.17224,  0.19042, -0.05686,  0.22004, -0.09938,  0.07598, -0.08671,  0.15359,  0.26387, -0.04995,  0.35019, -0.04051,  0.26637,  0.09390, -0.18371,  0.22766,  0.11471,  0.20434, -0.05241, -0.02018, -0.13230,  0.07422,  0.27921,  0.08730,  0.04375,  0.06789,  0.11155, -0.06111,  0.00031,  0.10899,  0.21414,  0.20035, -0.02484,  0.32282,  0.22953,  0.06168, -0.21330,  0.19552, -0.03864, -0.11935,  0.01742,  0.29586,  0.09640,  0.19170, -0.05024, -0.00160, -0.16914,  0.20575,  0.31601, -0.06039, -0.10717, -0.03668,  0.22817, -0.07171,  0.10489,  0.05899, -0.03070,  0.19041,  0.41424,  0.09816,  0.35508, -0.07775,  0.19578,  0.23416,  0.03966,  0.08522,  0.13126,  0.43331, -0.14796,  0.18720, -0.01376,  0.19041,  0.00544,  0.38671, -0.27675,  0.28360,  0.19051, -0.18263,  0.12281,  0.19318,  0.23013,  0.19041,  0.19731,  0.24783, -0.06174,  0.23404, -0.04771,  0.14308, -0.01423,  0.19067,  0.10554,  0.03682, -0.15501, -0.04958,  0.11352,  0.22052,  0.12398, -0.04769,  0.05964,  0.35524, -0.20523,  0.19612,  0.20551,  0.29992, -0.01841,  0.22185,  0.54232,  0.07155, -0.07347,  0.08080,  0.10954, -0.16953, -0.21333, -0.03349,  0.10666,  0.11053, -0.02673, -0.02327,  0.13658,  0.08560, -0.02985,  0.22783,  0.03120,  0.16262,  0.05894,  0.19756,  0.27247,  0.10689,  0.13066, -0.08359,  0.23897,  0.08943,  0.19271,  0.28801,  0.27223,  0.50841, -0.07725,  0.27585,  0.01106,  0.00447,  0.45551, -0.06837, -0.17321, -0.15368,  0.18521, -0.16332,  0.10306,  0.14664,  0.26181, -0.10289,  0.14169,  0.12758,  0.12398,  0.08633,  0.10584,  0.07711,  0.19054,  0.02541, -0.10699,  0.08619, -0.01457,  0.19041, -0.23119, -0.17270,  0.13795,  0.19045, -0.19075, -0.05190,  0.98440, -0.00447,  0.13259,  0.10762, -0.10222, -0.02759, -0.09172, -0.03787,  0.03754,  0.00956, -0.01524,  0.08961,  0.19131,  0.14969,  0.12179,  0.10750, -0.03757,  0.19071, -0.09452, -0.02971, 
