drug_name, pubchem_id, cns, xlogp, tpsa, MaxEStateIndex, MinEStateIndex, MaxAbsEStateIndex, MinAbsEStateIndex, qed, MolWt, HeavyAtomMolWt, ExactMolWt, NumValenceElectrons, NumRadicalElectrons, MaxPartialCharge, MinPartialCharge, MaxAbsPartialCharge, MinAbsPartialCharge, FpDensityMorgan1, FpDensityMorgan2, FpDensityMorgan3, BalabanJ, BertzCT, Chi0, Chi0n, Chi0v, Chi1, Chi1n, Chi1v, Chi2n, Chi2v, Chi3n, Chi3v, Chi4n, Chi4v, HallKierAlpha, Ipc, Kappa1, Kappa2, Kappa3, LabuteASA, PEOE_VSA1, PEOE_VSA10, PEOE_VSA11, PEOE_VSA12, PEOE_VSA13, PEOE_VSA14, PEOE_VSA2, PEOE_VSA3, PEOE_VSA4, PEOE_VSA5, PEOE_VSA6, PEOE_VSA7, PEOE_VSA8, PEOE_VSA9, SMR_VSA1, SMR_VSA10, SMR_VSA2, SMR_VSA3, SMR_VSA4, SMR_VSA5, SMR_VSA6, SMR_VSA7, SMR_VSA8, SMR_VSA9, SlogP_VSA1, SlogP_VSA10, SlogP_VSA11, SlogP_VSA12, SlogP_VSA2, SlogP_VSA3, SlogP_VSA4, SlogP_VSA5, SlogP_VSA6, SlogP_VSA7, SlogP_VSA8, SlogP_VSA9, EState_VSA1, EState_VSA10, EState_VSA11, EState_VSA2, EState_VSA3, EState_VSA4, EState_VSA5, EState_VSA6, EState_VSA7, EState_VSA8, EState_VSA9, VSA_EState1, VSA_EState10, VSA_EState2, VSA_EState3, VSA_EState4, VSA_EState5, VSA_EState6, VSA_EState7, VSA_EState8, VSA_EState9, FractionCSP3, HeavyAtomCount, NHOHCount, NOCount, NumAliphaticCarbocycles, NumAliphaticHeterocycles, NumAliphaticRings, NumAromaticCarbocycles, NumAromaticHeterocycles, NumAromaticRings, NumHAcceptors, NumHDonors, NumHeteroatoms, NumRotatableBonds, NumSaturatedCarbocycles, NumSaturatedHeterocycles, NumSaturatedRings, RingCount, MolMR, fr_Al_COO, fr_Al_OH, fr_Al_OH_noTert, fr_ArN, fr_Ar_COO, fr_Ar_N, fr_Ar_NH, fr_Ar_OH, fr_COO, fr_COO2, fr_C_O, fr_C_O_noCOO, fr_C_S, fr_HOCCN, fr_Imine, fr_NH0, fr_NH1, fr_NH2, fr_N_O, fr_Ndealkylation1, fr_Ndealkylation2, fr_Nhpyrrole, fr_SH, fr_aldehyde, fr_alkyl_carbamate, fr_alkyl_halide, fr_allylic_oxid, fr_amide, fr_amidine, fr_aniline, fr_aryl_methyl, fr_azide, fr_azo, fr_barbitur, fr_benzene, fr_benzodiazepine, fr_bicyclic, fr_diazo, fr_dihydropyridine, fr_epoxide, fr_ester, fr_ether, fr_furan, fr_guanido, fr_halogen, fr_hdrzine, fr_hdrzone, fr_imidazole, fr_imide, fr_isocyan, fr_isothiocyan, fr_ketone, fr_ketone_Topliss, fr_lactam, fr_lactone, fr_methoxy, fr_morpholine, fr_nitrile, fr_nitro, fr_nitro_arom, fr_nitro_arom_nonortho, fr_nitroso, fr_oxazole, fr_oxime, fr_para_hydroxylation, fr_phenol, fr_phenol_noOrthoHbond, fr_phos_acid, fr_phos_ester, fr_piperdine, fr_piperzine, fr_priamide, fr_prisulfonamd, fr_pyridine, fr_quatN, fr_sulfide, fr_sulfonamd, fr_sulfone, fr_term_acetylene, fr_tetrazole, fr_thiazole, fr_thiocyan, fr_thiophene, fr_unbrch_alkane, fr_urea
                   Abiraterone,     132971,        0,    4.600,   33.100,     11.43596,     -0.13770,     11.43596,      0.08571,      0.46046,    391.55500,    358.29100,    391.25113,    154,      0,      0.30241,     -0.46222,      0.46222,      0.30241,      1.10345,      1.93103,      2.68966,      1.40894,    871.95434,     20.22540,     17.98696,     17.98696,     13.91549,     11.39413,     11.39413,     10.28496,     10.28496,      8.94467,      8.94467,      7.49980,      7.49980,     -1.90000, 5686486.19120,     19.08664,      6.82064,      2.91611,    174.18737,      4.73686,      6.10397,      0,      0,      0,      5.96931,      9.77852,      0,      0,      0,     37.63899,     84.31155,     25.73825,      0,      9.53140,     11.54241,      0,      4.98398,     28.58370,     71.82093,      0,     47.81502,      0,      0,      0,      0,      0,      0,     17.05725,      9.53140,     28.58370,     71.28041,     42.25157,      0,      5.57310,      0,      0,      4.79454,      0,     22.90325,      0,     37.01618,     43.74358,      5.57310,     12.39369,     43.11623,      4.73686,      5.57563,      0,     15.82172,      0,      4.98671,      2.12246,      4.29737,     17.14096,      6.55515,      0,      0.61538,     20,      0,      3,      4,      0,      4,      0,      1,      1,      3,      0,      3,      2,      2,      0,      2,      5,    114.85400,      0,      0,      0,      0,      0,      1,      0,      0,      0,      0,      1,      1,      0,      0,      0,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      3,      0,      0,      0,      0,      0,      0,      0,      0,      0,      5,      0,      0,      0,      1,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
                   Acamprosate,      71158,        1,   -1.200,   91.800,     10.24519,     -3.87336,     10.24519,      0.20802,      0.44785,    181.21300,    170.12500,    181.04088,     66,      0,      0.26442,     -0.35631,      0.35631,      0.26442,      1.54545,      2.09091,      2.45455,      3.36902,    220.63692,      8.90578,      6.20153,      7.01802,      4.91650,      3.11226,      4.72143,      2.12255,      3.69463,      0.95301,      1.75760,      0.51899,      1.02813,     -0.62000,    147.42548,     10.38000,      4.29783,      9.38000,     65.53904,      5.31679,      0,      0,      5.90718,     10.11813,      0,      9.34729,      0,      8.41780,      0,      0,      6.42082,     13.46849,      5.75285,     17.76508,     16.02531,      0,      5.31679,      0,     13.34456,     12.29761,      0,      0,      0,      5.31679,      0,      0,      0,     31.17534,     14.91266,      0,     13.34456,      0,      0,      0,      0,     10.11813,     13.21233,      0,     24.62561,      0,      0,      6.92374,      0,      0,      5.31679,      4.55275,     28.47994,      0,     10.24519,      2.40361,      0,     -0.52024,      0,      0.23454,      1.61366,     -3.87336,      0.80000,     11,      2,      5,      0,      0,      0,      0,      0,      0,      3,      2,      6,      4,      0,      0,      0,      0,     39.71630,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      1,      0,      0,      0,      0,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      0
                    Acebutolol,       1978,        0,    1.700,   87.700,     11.82207,     -0.67024,     11.82207,      0.08486,      0.57101,    336.43200,    308.20800,    336.20491,    134,      0,      0.22386,     -0.49008,      0.49008,      0.22386,      1.29167,      2,      2.58333,      2.73009,    557.94978,     18.11252,     14.88714,     14.88714,     11.32861,      8.32137,      8.32137,      6.09308,      6.09308,      3.31262,      3.31262,      2.07592,      2.07592,     -1.92000, 131163.98397,     20.12529,     10.05100,      7.10316,    143.14126,     20.47697,     18.46036,      5.78324,      5.90718,      0,      0,      9.58907,      0,      0,      0,     20.77121,     31.54366,     24.69481,      5.56345,     19.43246,     17.37781,      0,      5.31679,      0,     52.68240,     18.46843,     23.76255,      0,      5.74951,     15.37044,      5.68739,      5.74951,      0,     42.09440,      4.79454,      0,     50.89458,     18.19910,      0,      0,      0,      6.10397,     14.69560,      0,     24.33915,     29.96593,      6.42082,      6.92374,     18.19910,     20.77121,     10.63358,      4.73686,      5.57647,      0,     23.47522,     15.76602,      0.94569,      0.15447,      5.20585,      0.52182,      7.85447,      0,      0.55556,     24,      3,      6,      0,      0,      0,      1,      0,      1,      5,      3,      6,     10,      0,      0,      0,      1,     94.62470,      0,      1,      1,      0,      0,      0,      0,      0,      0,      0,      2,      2,      0,      0,      0,      0,      2,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      0,      1,      0,      0,      0,      0,      1,      0,      0,      0,      0,      0,      0,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
                 Acenocoumarol,   54676537,        0,    2.500,  109.000,     12.47924,     -0.76930,     12.47924,      0.03449,      0.42672,    353.33000,    338.21000,    353.08994,    132,      0,      0.34337,     -0.50659,      0.50659,      0.34337,      1.19231,      1.84615,      2.46154,      2.19935,   1051.80756,     18.84457,     13.83893,     13.83893,     12.37992,      7.86673,      7.86673,      5.95533,      5.95533,      4.16619,      4.16619,      2.95756,      2.95756,     -3.48000, 656833.42120,     17.34651,      6.79415,      3.18842,    147.20500,      9.52368,     17.11578,      0,      0,      5.68739,      5.62559,     14.90886,      4.79454,      0,      0,     24.26547,     24.61992,     24.47146,     15.87299,     19.24153,     22.43988,      0,      0,      0,     19.26246,      0,     80.19228,      0,      5.74951,      5.62559,      5.68739,      5.74951,      0,     15.81308,      4.79454,     10.11432,     30.38937,     57.74262,      0,     10.96924,      0,     16.46680,     24.80992,      0,     34.78744,     10.94968,      0,     31.18921,     24.26547,      0,      0,      4.41715,      5.28452,      0,     34.51375,     21.82805,     -0.14226,     -1.21211,     12.06875,     -0.04715,      1.37312,      0,      0.15789,     26,      1,      7,      0,      0,      0,      2,      1,      3,      6,      1,      7,      5,      0,      0,      0,      3,     94.38620,      0,      0,      0,      0,      0,      0,      0,      1,      0,      0,      1,      1,      0,      0,      0,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      0,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      1,      0,      0,      0,      0,      0,      1,      1,      1,      0,      0,      0,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
                  Acepromazine,       6077,        0,    4.200,   48.800,     11.75478,      0.11565,     11.75478,      0.11565,      0.75779,    326.46500,    304.28900,    326.14528,    120,      0,      0.15938,     -0.33957,      0.33957,      0.15938,      1.08696,      1.82609,      2.56522,      1.98081,    727.05959,     16.39698,     13.87370,     14.69019,     11.05855,      7.90185,      8.71835,      6.11694,      7.20072,      4.01927,      5.14954,      2.83425,      3.91036,     -1.78000, 180215.36799,     16.09101,      6.76844,      3.43274,    141.84156,      9.79982,      0,      5.78324,      0,      0,      0,      4.79454,      0,      0,      0,     29.96099,     58.25013,     21.89917,     11.37477,      4.79454,     28.91990,      0,      4.89991,      0,     23.13553,     32.08477,     48.02802,      0,      0,      4.89991,     11.37477,      0,     11.76188,     37.86801,      0,      0,     23.70255,     52.25554,      0,      0,      0,      0,      4.79454,      0,      5.78324,      0,     30.76117,     15.47835,     18.68562,     12.13273,     54.22700,      0,      0,      1.78305,     18.81794,      0,      3.17218,      0.11565,     14.54271,      1.07911,      3.62468,      4.19802,      0.31579,     23,      0,      3,      0,      1,      1,      2,      0,      2,      4,      0,      4,      5,      0,      0,      0,      3,     97.18850,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      1,      0,      0,      0,      2,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      0,      0,      0,      0,      2,      0,      2,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
                Aceprometazine,      26035,        0,    4.300,   48.800,     11.78030,      0.10858,     11.78030,      0.10858,      0.77498,    326.46500,    304.28900,    326.14528,    120,      0,      0.15938,     -0.33805,      0.33805,      0.15938,      1.13043,      1.82609,      2.52174,      2.08523,    741.89951,     16.56011,     14.03683,     14.85333,     10.96923,      7.82942,      8.64592,      6.23171,      7.31549,      4.36057,      5.49084,      2.67252,      3.74862,     -1.78000, 168069.83081,     16.09101,      6.37864,      3.14209,    141.84156,      9.79982,      0,      5.78324,      0,      0,      0,      4.79454,      0,      0,      0,     29.96099,     52.20829,     27.94102,     11.37477,      4.79454,     28.91990,      0,      4.89991,      0,     29.68028,     25.54001,     48.02802,      0,      0,      4.89991,     11.37477,      0,     11.76188,     37.36510,      0,      0,     24.20546,     52.25554,      0,      0,      0,      0,      4.79454,      0,      5.78324,      6.04184,     17.79559,     15.47835,     18.68562,     12.13273,     61.15074,      0,      0,      1.77558,     18.82022,      0,      3.12568,      0.10858,     14.90549,      0,      4.73236,      4.19875,      0.31579,     23,      0,      3,      0,      1,      1,      2,      0,      2,      4,      0,      4,      4,      0,      0,      0,      3,     97.16650,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      1,      0,      0,      0,      2,      0,      0,      0,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      0,      0,      0,      0,      2,      0,      2,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
                 Acetaminophen,       1983,        1,    0.500,   49.300,     10.52447,     -0.11510,     10.52447,      0.11510,      0.59503,    151.16500,    142.09300,    151.06333,     58,      0,      0.22075,     -0.50796,      0.50796,      0.22075,      1.36364,      1.90909,      2.36364,      2.73630,    253.29950,      8.26758,      6.16486,      6.16486,      5.18154,      3.24910,      3.24910,      2.22806,      2.22806,      1.18767,      1.18767,      0.74803,      0.74803,     -1.51000,    285.51074,      7.59537,      3.05314,      2.29230,     64.66691,     10.42332,      5.74951,      0,      5.90718,      0,      0,      4.79454,      0,      0,      0,      0,     24.26547,     12.61112,      0,      9.90106,     11.59457,      0,      0,      0,      6.92374,      5.31679,     24.26547,      0,      5.74951,      5.31679,      5.68739,      5.74951,      0,     11.01371,      4.79454,      0,      6.92374,     24.26547,      0,      0,      0,      0,      4.79454,      0,     11.65669,      5.68739,      0,     19.05647,     12.13273,      0,      5.31679,      5.10653,      0,      0,     10.52447,     11.46003,      0.69009,      0.07851,      6.30954,      0,      1.43736,      0,      0.12500,     11,      2,      3,      0,      0,      0,      1,      0,      1,      2,      2,      3,      1,      0,      0,      0,      1,     42.41050,      0,      0,      0,      0,      0,      0,      0,      1,      0,      0,      1,      1,      0,      0,      0,      0,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      0,      1,      0,      0,      0,      0,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
                 Acetazolamide,       1986,        0,   -0.300,  152.000,     10.70498,     -3.82418,     10.70498,      0.10789,      0.63186,    222.25100,    216.20300,    221.98813,     72,      0,      0.26685,     -0.30075,      0.30075,      0.26685,      1.53846,      2.15385,      2.53846,      2.93869,    422.35247,     10.06048,      6.51302,      8.14601,      5.89287,      3.03275,      5.39556,      2.09932,      4.81197,      0.93282,      3.08151,      0.52585,      1.90536,     -1.06000,    682.12728,     10.02375,      3.35850,      2.71674,     78.02145,      5.31679,      0,      0,     15.37839,     10.02329,      0,      4.79454,     13.55677,      0,     10.19736,     11.33679,      0,      6.92374,      0,     13.21233,     32.39882,      0,     10.19736,      5.13897,     11.26339,      5.31679,      0,      0,      0,     10.45576,      5.13156,      0,     11.33679,     24.52234,     14.81783,      0,      6.92374,      4.33966,      0,      0,      0,     10.02329,     13.21233,      0,     15.37839,     11.33679,      0,      6.92374,      0,      0,     15.51415,      5.13897,     21.08704,      0.70102,     10.51917,     13.84102,      0,     -0.34989,      0,      0,      1.27581,     -3.82418,      0.25000,     13,      3,      7,      0,      0,      0,      0,      1,      1,      6,      2,      0,      2,      0,      0,      0,      1,     45.58590,      0,      0,      0,      0,      0,      2,      0,      0,      0,      0,      1,      1,      0,      0,      0,      2,      1,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      0,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      0,      0,      0,      0,      0,      0,      0,      0
                 Acetohexamide,       1989,        0,    2.400,  101.000,     12.10855,     -3.92608,     12.10855,      0.03152,      0.83057,    324.40200,    304.24200,    324.11438,    120,      0,      0.32841,     -0.33459,      0.33459,      0.32841,      1.04545,      1.63636,      2.18182,      1.99836,    646.62495,     16.16493,     12.46353,     13.28002,     10.38185,      7.32637,      8.80953,      5.49446,      7.17686,      3.73860,      5.08549,      2.51154,      3.42678,     -1.89000,  72463.89671,     16.47999,      6.91315,      4.30087,    129.89360,      5.31679,      0,      5.78324,      0,     10.02329,      6.03111,      4.79454,     17.93443,      0,      0,     31.39520,     31.89811,     11.60529,      4.89548,     18.00687,     21.83765,      0,     10.03888,      0,     49.96517,      0,     29.82892,      0,      0,     10.03888,      4.79454,      0,      0,     26.27400,     10.02329,      0,     49.38583,     29.16095,      0,      0,      0,     16.05441,     18.00687,      0,     16.72057,      5.56345,     32.10411,     31.18921,      0,      4.72209,      5.31679,      0,     26.22289,      0,     22.95109,      2.69101,      0.42186,     -0.14634,      4.80350,      4.99659,      1.40216,     -3.92608,      0.46667,     22,      2,      6,      1,      0,      1,      1,      0,      1,      4,      2,      7,      4,      1,      0,      1,      2,     82.17270,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      2,      0,      0,      0,      0,      2,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      0,      0,      0,      0,      0,      0,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      0,      0,      0,      0,      0,      0,      0,      1
                Acetophenazine,      17676,        0,    2.600,   72.300,     11.92543,      0.10867,     11.92543,      0.10867,      0.70405,    411.57100,    382.33900,    411.19805,    154,      0,      0.15938,     -0.39504,      0.39504,      0.15938,      0.93103,      1.62069,      2.34483,      1.45406,    864.95149,     20.21697,     17.01076,     17.82726,     14.15220,     10.40479,     11.22129,      7.72056,      8.80433,      5.76943,      6.89970,      4.11956,      5.19566,     -1.86000, 5168560.99502,     20.41430,      9.30352,      4.66552,    176.84957,     14.90635,      0,      5.78324,      0,      0,      0,      9.69445,      0,      0,      0,     29.96099,     44.15478,     54.62296,     17.98165,      9.90106,     28.91990,      0,      9.79982,      0,     23.13553,     57.32009,     48.02802,      0,      0,      4.89991,     11.37477,      0,     11.76188,     73.10977,      0,      0,     23.70255,     52.25554,      0,      0,      0,      0,      4.79454,      0,     12.39013,      0,     63.48495,     15.47835,     18.68562,     12.13273,     45.03156,      5.10653,      0,      1.78371,     21.64237,      9.10049,      3.15405,      0.10867,     14.60362,      1.07216,      8.86827,      0,      0.43478,     20,      1,      5,      0,      2,      2,      2,      0,      2,      6,      1,      6,      7,      0,      1,      1,      4,    118.60030,      0,      1,      1,      0,      0,      0,      0,      0,      0,      0,      1,      1,      0,      1,      0,      3,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      0,      0,      0,      0,      2,      0,      2,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      0,      0,      0,      0,      0,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
