# compound name, pubchem_id, CNS, xLogP, TPSA, SMILES
         Abiraterone,     132971,      FALSE,    4.600,     33.100, CC(=O)O[C@H]1CC[C@]2(C)C3CC[C@@]4(C)C(CC=C4C4=CN=CC=C4)C3CC=C2C1
         Acamprosate,      71158,       TRUE,   -1.200,     91.800, CC(=O)NCCCS(O)(=O)=O
          Acebutolol,       1978,      FALSE,    1.700,     87.700, CCCC(=O)NC1=CC(C(C)=O)=C(OCC(O)CNC(C)C)C=C1
       Acenocoumarol,   54676537,      FALSE,    2.500,    109.000, CC(=O)CC(C1=CC=C(C=C1)[N+]([O-])=O)C1=C(O)C2=CC=CC=C2OC1=O
        Acepromazine,       6077,      FALSE,    4.200,     48.800, CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(C)=O
      Aceprometazine,      26035,      FALSE,    4.300,     48.800, CC(CN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(C)=O)N(C)C
       Acetaminophen,       1983,       TRUE,    0.500,     49.300, CC(=O)NC1=CC=C(O)C=C1
       Acetazolamide,       1986,      FALSE,   -0.300,    152.000, CC(=O)NC1=NN=C(S1)S(N)(=O)=O
       Acetohexamide,       1989,      FALSE,    2.400,    101.000, CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1
      Acetophenazine,      17676,      FALSE,    2.600,     72.300, CC(=O)C1=CC=C2SC3=C(C=CC=C3)N(CCCN3CCN(CCO)CC3)C2=C1
      Acetylcysteine,      12035,      FALSE,    0.400,     67.400, CC(=O)N[C@@H](CS)C(O)=O
     Acetyldigitoxin,    5284512,      FALSE,    2.800,    189.000, [H][C@@]1(CC[C@]2(O)[C@]3([H])CC[C@]4([H])C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](OC(C)=O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1)C1=CC(=O)OC1
           Acitretin,    5284513,      FALSE,    6.100,     46.500, COC1=C(C)C(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1
          Aclidinium,   11434515,      FALSE,    4.700,    112.000, [Br-].OC(C(=O)OC1C[N+]2(CCCOC3=CC=CC=C3)CCC1CC2)(C1=CC=CS1)C1=CC=CS1
           Acyclovir,  135398513,      FALSE,   -1.900,    115.000, NC1=NC(=O)C2=C(N1)N(COCCO)C=N2
           Adapalene,      60164,      FALSE,    7.700,     46.500, COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2
             Adenine,        190,      FALSE,   -0.100,     80.500, NC1=C2NC=NC2=NC=N1
          Adinazolam,      37632,      FALSE,    1.600,     46.300, CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12
            Afatinib,   10184653,      FALSE,    3.600,     88.600, CN(C)C\C=C\C(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC(Cl)=C(F)C=C3)C2=C1
         Agomelatine,      82148,      FALSE,    2.700,     38.300, COC1=CC2=C(C=CC=C2CCNC(C)=O)C=C1
            Ajmaline,    6100671,      FALSE,    1.800,     46.900, CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)C5=CC=CC=C5[C@]44C[C@@H](C2[C@H]4O)N3[C@@H]1O
         Albendazole,       2082,      FALSE,    2.900,     92.300, CCCSC1=CC2=C(C=C1)N=C(NC(=O)OC)N2
         Alcaftadine,   19371515,      FALSE,    1.700,     38.100, CN1CCC(CC1)=C1C2=NC=C(C=O)N2CCC2=CC=CC=C12
       Alclometasone,    5311000,      FALSE,    2.200,     94.800, [H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C
         Alendronate,       2088,      FALSE,   -6.500,    161.000, NCCCC(O)(P(O)(O)=O)P(O)(O)=O
          Alfentanil,      51263,       TRUE,    2.200,     81.000, CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O
           Alfuzosin,       2092,      FALSE,    1.700,    112.000, COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N(C)CCCNC(=O)C1CCCO1
